Variance,Feasible,1_ Feasible,2_Feasible
0.002,0,0,0
0.003,0,0,0
0.004,0,0,0
0.005,0,0,0
0.006,0,0,0
0.007,0,0,0
0.008,0,0,0
0.009,0,0,0
0.01,0,0,0
0.011,0,0,0
0.012,0,0,0
0.013,1,0,1
0.014,1,1,1
0.015,1,1,1
0.016,2,2,2
0.017,2,2,2
0.018,2,2,2
0.019,2,2,2
0.02,3,3,3
0.021,3,3,3
0.022,3,3,3
0.023,3,3,3
0.024,3,3,3
0.025,3,3,3
0.026,4,4,4
0.027,4,4,4
0.028,4,4,4
0.029,4,4,4
0.03,4,4,4
0.031,4,4,4
0.032,4,4,4
