City/Town,Ward,Pct,Edward J. Markey,Brian J. Herr,Total Votes Cast,,
Fall River,3,B,452,175,658,,
Fall River,3,C,445,219,698,,
Fall River,4,A,334,117,471,,
Fall River,4,B,331,100,464,,
Fall River,4,C,387,74,493,,
Fall River,5,A,220,61,300,,
Fall River,5,B,184,41,241,,
Fall River,5,B1,29,9,41,,
Fall River,5,C,277,69,383,,
Fall River,6,A,478,234,761,,
Fall River,6,B,358,108,500,,
Fall River,6,C,424,176,645,,
Fall River,6,C1,7,5,13,,
Fall River,7,A,428,215,688,,
Fall River,7,B,273,127,426,,
Fall River,7,C,393,117,551,,
Fall River,8,A,365,149,551,,
Fall River,8,B,673,315,"1,077",,
Fall River,8,C,682,322,"1,084",,
Fall River,9,A,813,416,"1,327",,
Fall River,9,B,514,255,823,,
Fall River,9,C,457,208,739,,
Falmouth,-,1,"1,340",516,"1,903",,
Falmouth,-,2,998,567,"1,605",,
Falmouth,-,3,805,677,"1,531",,
Falmouth,-,4,800,684,"1,522",,
Falmouth,-,5,"1,015",810,"1,876",,
Falmouth,-,6,906,728,"1,675",,
Falmouth,-,7,726,678,"1,447",,
Falmouth,-,8,763,737,"1,536",,
Falmouth,-,9,708,576,"1,332",,
Fitchburg,1,A,319,215,568,,
Fitchburg,1,B,405,286,737,,
Fitchburg,2,A,270,152,446,,
Fitchburg,2,B,477,370,900,,
Fitchburg,3,A,714,568,"1,364",,
Fitchburg,3,B,441,350,822,,
Fitchburg,4,A,280,188,501,,
Fitchburg,4,B,359,171,561,,
Fitchburg,5,A,566,575,"1,211",,
Fitchburg,5,B,225,110,355,,
Fitchburg,6,A,561,397,"1,022",,
Fitchburg,6,B,366,187,590,,
Florida,-,1,137,93,242,,
Foxborough,-,1,627,554,"1,236",,
Foxborough,-,2,793,682,"1,549",,
Foxborough,-,3,729,672,"1,486",,
Foxborough,-,4,727,678,"1,470",,
Foxborough,-,5,609,662,"1,318",,
Framingham,-,1,996,571,"1,623",,
Framingham,-,2,"1,040",558,"1,647",,
Framingham,-,3,832,385,"1,262",,
Framingham,-,4,"1,025",587,"1,659",,
Framingham,-,5,960,516,"1,513",,
Framingham,-,6,955,514,"1,521",,
Framingham,-,7,806,457,"1,306",,
Framingham,-,8,891,371,"1,298",,
Framingham,-,9,585,263,883,,
Framingham,-,10,424,165,610,,
Framingham,-,11,"1,032",602,"1,677",,
Framingham,-,12,453,207,685,,
Framingham,-,13,626,243,892,,
Framingham,-,14,391,122,534,,
Framingham,-,15,495,167,677,,
Framingham,-,16,250,72,337,,
Framingham,-,17,283,37,335,,
Framingham,-,18,365,159,550,,
Franklin,-,1,753,646,"1,478",,
Franklin,-,2,631,630,"1,323",,
Franklin,-,3,751,641,"1,457",,
Franklin,-,4,725,882,"1,688",,
Franklin,-,5,807,728,"1,605",,
Franklin,-,6,719,575,"1,355",,
Franklin,-,7,761,849,"1,700",,
Franklin,-,8,739,853,"1,661",,
Freetown,-,1,448,500,973,,
Freetown,-,2,528,407,963,,
Freetown,-,3,468,481,979,,
Gardner,1,A,429,340,801,,
Gardner,1,B,125,150,286,,
Gardner,2,A,352,227,606,,
Gardner,2,B,365,314,708,,
Gardner,3,A,300,164,489,,
Gardner,3,B,422,257,716,,
Gardner,4,A,326,205,553,,
Gardner,4,B,198,99,313,,
Gardner,5,A,266,200,483,,
Gardner,5,B,379,333,743,,
Georgetown,-,1,582,650,"1,273",,
Georgetown,-,2,472,601,"1,100",,
Georgetown,-,3,514,490,"1,034",,
Gill,-,1,471,152,649,,
Gloucester,1,1,858,463,"1,399",,
Gloucester,1,2,643,358,"1,055",,
Gloucester,2,1,488,225,759,,
Gloucester,2,2,501,202,744,,
Gloucester,3,1,560,275,866,,
Gloucester,3,2,599,329,986,,
Gloucester,4,1,697,425,"1,197",,
Gloucester,4,2,955,482,"1,509",,
Gloucester,5,1,738,534,"1,333",,
Gloucester,5,2,713,551,"1,322",,
Goshen,-,1,285,144,451,,
Gosnold,-,1,27,19,46,,
Grafton,-,1,632,666,"1,362",,
Grafton,-,2,623,648,"1,334",,
Grafton,-,3,575,625,"1,251",,
Grafton,-,4,514,500,"1,060",,
Grafton,-,5,743,752,"1,556",,
Granby,-,1,706,580,"1,355",,
Granby,-,2,579,569,"1,206",,
Granville,-,1,258,411,694,,
Great Barrington,-,A,573,131,765,,
Great Barrington,-,B,566,138,749,,
Great Barrington,-,C,429,82,531,,
Great Barrington,-,D,599,137,772,,
Greenfield,-,1,385,168,584,,
Greenfield,-,2,538,238,828,,
Greenfield,-,3,475,128,665,,
Greenfield,-,4,542,153,737,,
Greenfield,-,5,509,105,693,,
Greenfield,-,6,475,99,628,,
Greenfield,-,7,346,130,499,,
Greenfield,-,8,351,66,435,,
Greenfield,-,9,330,140,496,,
Groton,-,1,848,689,"1,642",,
Groton,-,2,708,624,"1,403",,
Groton,-,3,800,602,"1,467",,
Groveland,-,1,638,744,"1,441",,
Groveland,-,2,627,752,"1,431",,
Hadley,-,1,"1,503",614,"2,212",,
Halifax,-,1,659,765,"1,489",,
Halifax,-,2,672,695,"1,415",,
Hamilton,-,1,581,563,"1,196",,
Hamilton,-,2,551,642,"1,236",,
Hamilton,-,3,423,406,870,,
Hampden,-,1,959,"1,130","2,213",,
Hancock,-,1,141,92,243,,
Hanover,-,1,667,852,"1,569",,
Hanover,-,2,680,824,"1,579",,
Hanover,-,3,713,755,"1,541",,
Hanover,-,4,616,895,"1,579",,
Hanson,-,1,618,688,"1,364",,
Hanson,-,2,713,720,"1,498",,
Hanson,-,3,572,640,"1,273",,
Hardwick,-,1,525,442,"1,018",,
Harvard,-,1,"1,602",981,"2,715",,
Harwich,-,1,894,718,"1,652",,
Harwich,-,2,833,713,"1,582",,
Harwich,-,3,790,739,"1,567",,
Harwich,-,4,698,552,"1,279",,
Hatfield,-,1,995,436,"1,484",,
Haverhill,1,1,283,142,445,,
Haverhill,1,2,407,215,655,,
Haverhill,1,3,434,265,724,,
Haverhill,2,1,413,294,736,,
Haverhill,2,2,445,358,836,,
Haverhill,2,3,288,134,437,,
Haverhill,3,1,239,75,333,,
Haverhill,3,2,380,160,574,,
Haverhill,3,3,382,243,656,,
Haverhill,4,1,545,527,"1,127",,
Haverhill,4,2,626,588,"1,279",,
Haverhill,4,3,600,469,"1,130",,
Haverhill,5,1,584,385,"1,029",,
Haverhill,5,2,604,554,"1,200",,
Haverhill,5,3,617,707,"1,366",,
Haverhill,6,1,454,354,835,,
Haverhill,6,2,534,404,"1,001",,
Haverhill,6,3,586,495,"1,130",,
Haverhill,7,1,628,473,"1,152",,
Haverhill,7,2,505,372,918,,
Haverhill,7,3,578,589,"1,226",,
Hawley,-,1,90,49,146,,
Heath,-,1,198,107,313,,
Hingham,-,1,803,692,"1,563",,
Hingham,-,2,858,744,"1,669",,
Hingham,-,3,826,760,"1,668",,
Hingham,-,4,802,845,"1,712",,
Hingham,-,5,557,607,"1,207",,
Hingham,-,5A,576,302,912,,
Hingham,-,6,806,835,"1,707",,
Hinsdale,-,1,431,222,680,,
Holbrook,-,1,616,356,"1,042",,
Holbrook,-,2,631,461,"1,166",,
Holbrook,-,3,615,431,"1,106",,
Holbrook,-,4,616,354,"1,033",,
Holden,-,1,649,816,"1,529",,
Holden,-,2,703,827,"1,603",,
Holden,-,3,710,742,"1,509",,
Holden,-,4,703,831,"1,623",,
Holden,-,5,788,873,"1,734",,
Holland,-,1,397,471,912,,
Holliston,-,1,832,858,"1,731",,
Holliston,-,2,880,672,"1,593",,
Holliston,-,3,811,585,"1,431",,
Holliston,-,4,691,648,"1,382",,
Holyoke,1,A,329,46,412,,
Holyoke,1,B,375,87,505,,
Holyoke,2,A,385,79,499,,
Holyoke,2,B,247,48,318,,
Holyoke,3,A,570,197,832,,
Holyoke,3,B,693,302,"1,078",,
Holyoke,4,A,285,64,369,,
Holyoke,4,B,455,86,577,,
Holyoke,5,A,760,538,"1,382",,
Holyoke,5,B,552,223,825,,
Holyoke,6,A,479,153,686,,
Holyoke,6,B,535,185,754,,
Holyoke,7,A,709,422,"1,223",,
Holyoke,7,B,691,251,"1,025",,
Hopedale,-,1,"1,185","1,109","2,395",,
Hopkinton,-,1,643,939,"1,614",,
Hopkinton,-,2,622,885,"1,538",,
Hopkinton,-,3,591,939,"1,565",,
Hopkinton,-,4,621,917,"1,558",,
Hubbardston,-,1,823,993,"1,899",,
Hudson,-,1,635,422,"1,105",,
Hudson,-,2,462,325,820,,
Hudson,-,3,589,536,"1,177",,
Hudson,-,4,582,590,"1,213",,
Hudson,-,5,708,541,"1,301",,
Hudson,-,6,445,300,771,,
Hudson,-,7,464,281,777,,
Hull,-,1,932,523,"1,517",,
Hull,-,2,792,468,"1,317",,
Hull,-,3,859,574,"1,485",,
Huntington,-,1,413,418,857,,
Ipswich,-,1,865,541,"1,467",,
Ipswich,-,2,955,676,"1,690",,
Ipswich,-,3,680,803,"1,541",,
Ipswich,-,4,779,607,"1,451",,
Kingston,-,1,564,552,"1,178",,
Kingston,-,2,590,734,"1,376",,
Kingston,-,3,546,668,"1,275",,
Kingston,-,4,599,553,"1,190",,
Lakeville,-,1,565,681,"1,285",,
Lakeville,-,2,561,793,"1,400",,
Lakeville,-,3,647,797,"1,511",,
Lancaster,-,1,608,737,"1,388",,
Lancaster,-,2,692,735,"1,487",,
Lanesborough,-,1,592,315,950,,
Lawrence,A,1,446,109,602,,
Lawrence,A,2,352,65,491,,
Lawrence,A,3,377,123,532,,
Lawrence,A,4,398,68,529,,
Lawrence,B,1,499,115,740,,
Lawrence,B,2,418,57,558,,
Lawrence,B,3,492,81,651,,
Lawrence,B,4,539,84,783,,
Lawrence,C,1,313,45,413,,
Lawrence,C,2,471,131,636,,
Lawrence,C,3,379,32,452,,
Lawrence,C,4,433,53,592,,
Lawrence,D,1,444,112,582,,
Lawrence,D,2,432,33,518,,
Lawrence,D,3,329,49,435,,
Lawrence,D,4,353,59,431,,
Lawrence,E,1,580,315,941,,
Lawrence,E,2,605,271,924,,
Lawrence,E,3,432,101,570,,
Lawrence,E,4,440,92,621,,
Lawrence,F,1,487,248,774,,
Lawrence,F,2,362,73,470,,
Lawrence,F,3,385,59,475,,
Lawrence,F,4,430,108,584,,
Lee,-,1,"1,260",449,"1,827",,
Leicester,-,1,515,535,"1,104",,
Leicester,-,2,473,419,943,,
Leicester,-,3,471,494,"1,012",,
Leicester,-,4,526,483,"1,063",,
Lenox,-,1,"1,495",459,"2,049",,
Leominster,1,A,494,520,"1,077",,
Leominster,1,B,514,503,"1,064",,
Leominster,1,C,370,286,675,,
Leominster,2,A,315,183,516,,
Leominster,2,B,410,316,755,,
Leominster,2,C,205,148,375,,
Leominster,3,A,353,249,634,,
Leominster,3,B,491,494,"1,040",,
Leominster,3,C,514,534,"1,097",,
Leominster,4,A,610,538,"1,219",,
Leominster,4,B,493,556,"1,107",,
Leominster,4,C,378,253,662,,
Leominster,5,A,408,294,738,,
Leominster,5,B,549,436,"1,040",,
Leominster,5,C,349,249,630,,
Leverett,-,1,787,125,937,,
Lexington,-,1,910,285,"1,235",,
Lexington,-,2,"1,276",333,"1,664",,
Lexington,-,3,930,285,"1,252",,
Lexington,-,4,"1,160",394,"1,605",,
Lexington,-,5,"1,071",422,"1,546",,
Lexington,-,6,"1,055",439,"1,543",,
Lexington,-,7,"1,085",402,"1,534",,
Lexington,-,8,"1,051",345,"1,454",,
Lexington,-,9,988,431,"1,468",,
Leyden,-,1,263,94,372,,
Lincoln,-,1,"1,293",418,"1,751",,
Lincoln,-,2,707,306,"1,038",,
Littleton,-,1,779,569,"1,390",,
Littleton,-,2,805,577,"1,454",,
Littleton,-,3,686,510,"1,252",,
Longmeadow,-,A,825,601,"1,505",,
Longmeadow,-,B,758,527,"1,355",,
Longmeadow,-,C,782,683,"1,536",,
Longmeadow,-,D,716,731,"1,539",,
Longmeadow,-,E,761,582,"1,420",,
Lowell,1,1,369,118,521,,
Lowell,1,2,862,590,"1,549",,
Lowell,1,3,781,512,"1,380",,
Lowell,2,1,182,58,261,,
Lowell,2,2,359,50,457,,
Lowell,2,3,574,127,727,,
Lowell,3,1,351,172,569,,
Lowell,3,2,268,98,416,,
Lowell,3,3,325,96,491,,
Lowell,4,1,451,159,685,,
Lowell,4,2,266,84,379,,
Lowell,4,3,299,71,436,,
Lowell,5,1,370,216,614,,
Lowell,5,2,295,109,425,,
Lowell,5,3,436,252,728,,
Lowell,6,1,528,303,888,,
Lowell,6,2,537,302,892,,
Lowell,6,3,510,268,826,,
Lowell,7,1,266,98,400,,
Lowell,7,2,344,66,468,,
Lowell,7,3,198,74,343,,
Lowell,8,1,369,160,581,,
Lowell,8,2,451,214,741,,
Lowell,8,3,726,400,"1,228",,
Lowell,9,1,331,171,551,,
Lowell,9,2,516,282,828,,
Lowell,9,3,337,211,589,,
Lowell,10,1,426,159,624,,
Lowell,10,2,236,68,322,,
Lowell,10,3,206,50,278,,
Lowell,11,1,362,173,561,,
Lowell,11,2,461,277,778,,
Lowell,11,3,454,244,732,,
Ludlow,-,1,641,467,"1,165",,
Ludlow,-,2,403,265,724,,
Ludlow,-,3,609,613,"1,295",,
Ludlow,-,4,620,433,"1,126",,
Ludlow,-,5,471,397,917,,
Ludlow,-,6,685,645,"1,422",,
Lunenburg,-,A,547,592,"1,187",,
Lunenburg,-,B,475,449,957,,
Lunenburg,-,C,466,556,"1,054",,
Lunenburg,-,D,473,539,"1,052",,
Lynn,1,1,825,553,"1,473",,
Lynn,1,2,874,507,"1,472",,
Lynn,1,3,747,388,"1,205",,
Lynn,1,4,694,311,"1,065",,
Lynn,2,1,888,427,"1,395",,
Lynn,2,2,539,134,709,,
Lynn,2,3,364,63,454,,
Lynn,2,4,365,82,474,,
Lynn,3,1,599,217,863,,
Lynn,3,2,471,129,628,,
Lynn,3,3,473,172,681,,
Lynn,3,4,563,167,773,,
Lynn,4,1,259,41,316,,
Lynn,4,2,292,47,368,,
Lynn,4,3,429,72,536,,
Lynn,4,4,578,196,813,,
Lynn,5,1,516,180,742,,
Lynn,5,2,266,27,317,,
Lynn,5,3,265,45,342,,
Lynn,5,4,659,161,882,,
Lynn,6,1,423,134,587,,
Lynn,6,2,238,58,318,,
Lynn,6,3,388,118,537,,
Lynn,6,4,351,85,459,,
Lynn,7,1,780,285,"1,119",,
Lynn,7,2,699,223,975,,
Lynn,7,3,436,150,627,,
Lynn,7,4,469,190,702,,
Lynnfield,-,1,600,724,"1,382",,
Lynnfield,-,2,557,630,"1,234",,
Lynnfield,-,3,590,603,"1,248",,
Lynnfield,-,4,582,864,"1,521",,
Malden,1,1,525,127,680,,
Malden,1,2,657,178,883,,
Malden,2,1,594,150,786,,
Malden,2,2,668,235,943,,
Malden,3,1,714,230,986,,
Malden,3,2,937,340,"1,321",,
Malden,4,1,474,141,648,,
Malden,4,2,413,97,537,,
Malden,5,1,658,158,853,,
Malden,5,2,926,342,"1,311",,
Malden,6,1,768,235,"1,041",,
Malden,6,2,730,238,"1,026",,
Malden,7,1,534,96,659,,
Malden,7,2,642,146,828,,
Malden,8,1,766,237,"1,046",,
Malden,8,2,470,182,677,,
Manchester-by-the-Sea,-,1,"1,398","1,156","2,663",,
Mansfield,-,1,685,767,"1,511",,
Mansfield,-,2,713,678,"1,463",,
Mansfield,-,3,757,763,"1,580",,
Mansfield,-,4,643,689,"1,395",,
Mansfield,-,5,588,456,"1,096",,
Mansfield,-,6,647,493,"1,188",,
Marblehead,-,1,957,643,"1,694",,
Marblehead,-,2,987,610,"1,663",,
Marblehead,-,3,854,547,"1,466",,
Marblehead,-,4,946,750,"1,769",,
Marblehead,-,5,954,576,"1,587",,
Marblehead,-,6,897,674,"1,641",,
Marion,-,1,"1,185","1,077","2,328",,
Marlborough,1,1,475,276,778,,
Marlborough,1,2,617,586,"1,250",,
Marlborough,2,1,563,420,"1,018",,
Marlborough,2,2,423,307,754,,
Marlborough,3,1,330,171,524,,
Marlborough,3,2,565,426,"1,020",,
Marlborough,4,1,253,188,460,,
Marlborough,4,2,616,488,"1,137",,
Marlborough,5,1,346,165,524,,
Marlborough,5,2,496,355,886,,
Marlborough,6,1,374,224,624,,
Marlborough,6,2,576,468,"1,091",,
Marlborough,7,1,477,293,789,,
Marlborough,7,2,401,385,818,,
Marshfield,-,1,782,724,"1,575",,
Marshfield,-,2,773,848,"1,686",,
Marshfield,-,3,820,645,"1,524",,
Marshfield,-,4,706,734,"1,484",,
Marshfield,-,5,666,672,"1,398",,
Marshfield,-,6,825,902,"1,805",,
Marshfield,-,7,706,912,"1,673",,
Mashpee,-,1,772,600,"1,406",,
Mashpee,-,2,541,539,"1,112",,
Mashpee,-,3,439,459,923,,
Mashpee,-,4,551,450,"1,027",,
Mashpee,-,5,668,845,"1,567",,
Mattapoisett,-,1,"1,600","1,286","3,025",,
Maynard,-,1,703,400,"1,138",,
Maynard,-,2,695,336,"1,069",,
Maynard,-,3,674,383,"1,090",,
Maynard,-,4,642,336,"1,018",,
Medfield,-,1,670,620,"1,342",,
Medfield,-,2,614,719,"1,396",,
Medfield,-,3,663,712,"1,423",,
Medfield,-,4,606,685,"1,361",,
Medford,1,1,814,278,"1,141",,
Medford,1,2,884,288,"1,216",,
Medford,2,1,849,339,"1,230",,
Medford,2,2,984,438,"1,476",,
Medford,3,1,"1,004",442,"1,520",,
Medford,3,2,"1,042",549,"1,663",,
Medford,4,1,566,120,702,,
Medford,4,2,"1,013",292,"1,365",,
Medford,5,1,771,239,"1,045",,
Medford,5,2,749,147,927,,
Medford,6,1,"1,286",280,"1,628",,
Medford,6,2,"1,040",382,"1,480",,
Medford,7,1,494,135,654,,
Medford,7,2,654,242,941,,
Medford,8,1,993,379,"1,422",,
Medford,8,2,830,268,"1,142",,
Medway,-,1,529,693,"1,260",,
Medway,-,2,629,606,"1,289",,
Medway,-,3,666,581,"1,291",,
Medway,-,4,667,681,"1,393",,
Melrose,1,1,666,288,985,,
Melrose,1,2,566,238,838,,
Melrose,2,1,587,367,989,,
Melrose,2,2,575,245,854,,
Melrose,3,1,611,234,883,,
Melrose,3,2,499,210,741,,
Melrose,4,1,516,217,759,,
Melrose,4,2,524,433,998,,
Melrose,5,1,482,202,704,,
Melrose,5,2,466,230,725,,
Melrose,6,1,520,210,758,,
Melrose,6,2,541,313,890,,
Melrose,7,1,497,261,793,,
Melrose,7,2,569,319,915,,
Mendon,-,1,"1,044","1,321","2,483",,
Merrimac,-,1,681,575,"1,319",,
Merrimac,-,2,680,595,"1,323",,
Methuen,-,1,614,533,"1,195",,
Methuen,-,2,380,106,515,,
Methuen,-,3,622,498,"1,160",,
Methuen,-,4,663,457,"1,176",,
Methuen,-,5,530,304,863,,
Methuen,-,6,672,450,"1,150",,
Methuen,-,7,688,565,"1,307",,
Methuen,-,8,730,884,"1,687",,
Methuen,-,9,624,713,"1,393",,
Methuen,-,10,624,493,"1,155",,
Methuen,-,11,751,774,"1,593",,
Methuen,-,12,526,607,"1,175",,
Middleborough,-,1,942,968,"2,015",,
Middleborough,-,2,514,488,"1,048",,
Middleborough,-,3,614,736,"1,408",,
Middleborough,-,4,474,457,976,,
Middleborough,-,5,623,796,"1,485",,
Middleborough,-,6,536,604,"1,195",,
Middlefield,-,1,147,64,218,,
Middleton,-,1,705,937,"1,711",,
Middleton,-,2,771,871,"1,725",,
Milford,-,1,407,295,766,,
Milford,-,2,613,402,"1,092",,
Milford,-,3,526,442,"1,028",,
Milford,-,4,508,306,882,,
Milford,-,5,783,720,"1,598",,
Milford,-,6,638,468,"1,184",,
Milford,-,7,623,690,"1,376",,
Milford,-,8,683,583,"1,339",,
Millbury,-,1,547,519,"1,120",,
Millbury,-,2,661,781,"1,510",,
Millbury,-,3,543,546,"1,142",,
Millbury,-,4,534,443,"1,006",,
Millis,-,1,603,542,"1,180",,
Millis,-,2,574,558,"1,180",,
Millis,-,3,581,546,"1,168",,
Millville,-,1,422,567,"1,039",,
Milton,-,1,835,186,"1,081",,
Milton,-,2,899,289,"1,260",,
Milton,-,3,752,492,"1,317",,
Milton,-,4,799,311,"1,172",,
Milton,-,5,595,338,981,,
Milton,-,6,693,584,"1,348",,
Milton,-,7,653,427,"1,175",,
Milton,-,8,729,515,"1,327",,
Milton,-,9,637,617,"1,357",,
Milton,-,10,609,162,818,,
Monroe,-,1,16,16,36,,
Monson,-,A,472,456,979,,
Monson,-,B,466,476,"1,007",,
Monson,-,C,484,482,"1,019",,
Montague,-,1,591,129,729,,
Montague,-,2,364,124,508,,
Montague,-,3,367,125,516,,
Montague,-,4,384,128,540,,
Montague,-,5,238,53,302,,
Montague,-,6,322,118,453,,
Monterey,-,1,282,69,367,,
Montgomery,-,1,151,216,394,,
Mount Washington,-,1,52,21,76,,
Nahant,-,1,"1,153",638,"1,886",,
Nantucket,-,1,"2,233","1,386","3,724",,
Natick,-,1,512,223,754,,
Natick,-,2,889,514,"1,456",,
Natick,-,3,896,539,"1,477",,
Natick,-,4,773,403,"1,207",,
Natick,-,5,844,548,"1,439",,
Natick,-,6,812,496,"1,358",,
Natick,-,7,935,464,"1,438",,
Natick,-,8,904,464,"1,412",,
Natick,-,9,876,449,"1,367",,
Natick,-,10,"1,008",723,"1,772",,
Needham,-,A,729,381,"1,177",,
Needham,-,B,771,490,"1,316",,
Needham,-,C,796,490,"1,336",,
Needham,-,D,789,456,"1,301",,
Needham,-,E,820,499,"1,390",,
Needham,-,F,846,400,"1,307",,
Needham,-,G,917,485,"1,468",,
Needham,-,H,839,500,"1,405",,
Needham,-,I,923,401,"1,380",,
Needham,-,J,849,429,"1,331",,
New Ashford,-,1,77,24,108,,
New Bedford,1,A,552,235,829,,
New Bedford,1,B,467,175,676,,
New Bedford,1,C,467,197,697,,
New Bedford,1,D,462,233,727,,
New Bedford,1,E,411,169,601,,
New Bedford,1,F,480,225,729,,
New Bedford,2,A,100,28,130,,
New Bedford,2,B,250,72,339,,
New Bedford,2,C,219,60,292,,
New Bedford,2,D,292,111,433,,
New Bedford,2,E,382,136,546,,
New Bedford,2,F,351,139,519,,
New Bedford,3,A,127,43,174,,
New Bedford,3,B,205,47,266,,
New Bedford,3,C,263,60,341,,
New Bedford,3,D,339,87,446,,
New Bedford,3,E,476,144,657,,
New Bedford,3,F,434,136,600,,
New Bedford,4,A,276,36,331,,
New Bedford,4,B,406,80,511,,
New Bedford,4,C,451,88,565,,
New Bedford,4,D,366,70,451,,
New Bedford,4,E,335,106,461,,
New Bedford,4,F,361,64,444,,
New Bedford,5,A,271,54,342,,
New Bedford,5,B,500,103,625,,
New Bedford,5,C,373,113,509,,
New Bedford,5,D,538,141,712,,
New Bedford,5,E,609,232,891,,
New Bedford,5,F,602,214,852,,
New Bedford,6,A,429,158,626,,
New Bedford,6,B,404,127,556,,
New Bedford,6,C,179,24,221,,
New Bedford,6,D,137,33,183,,
New Bedford,6,E,228,52,294,,
New Bedford,6,F,275,78,376,,
New Braintree,-,1,210,208,438,,
New Marlborough,-,1,367,179,557,,
New Salem,-,1,287,161,462,,
Newbury,-,1,943,683,"1,686",,
Newbury,-,2,816,810,"1,682",,
Newburyport,1,P,198,145,361,,
Newburyport,1,1,725,348,"1,122",,
Newburyport,2,1,921,368,"1,338",,
Newburyport,3,1,887,432,"1,380",,
Newburyport,4,1,942,560,"1,560",,
Newburyport,5,1,603,499,"1,166",,
Newburyport,6,1,751,551,"1,358",,
Newton,1,1,578,236,857,,
Newton,1,2,726,217,970,,
Newton,1,3,700,191,924,,
Newton,1,4,564,294,921,,
Newton,2,1,754,285,"1,071",,
Newton,2,2,569,179,784,,
Newton,2,3,966,241,"1,250",,
Newton,2,4,998,214,"1,262",,
Newton,3,1,843,287,"1,179",,
Newton,3,2,852,251,"1,150",,
Newton,3,3,754,293,"1,087",,
Newton,3,4,746,278,"1,077",,
Newton,4,1,727,263,"1,027",,
Newton,4,2,730,186,958,,
Newton,4,3,549,160,732,,
Newton,4,4,687,246,975,,
Newton,5,1,643,230,902,,
Newton,5,2,837,165,"1,034",,
Newton,5,3,"1,059",268,"1,380",,
Newton,5,4,"1,031",291,"1,360",,
Newton,6,1,704,213,959,,
Newton,6,2,897,220,"1,157",,
Newton,6,3,"1,031",171,"1,233",,
Newton,6,4,"1,021",249,"1,321",,
Newton,7,1,658,303,998,,
Newton,7,2,993,285,"1,324",,
Newton,7,3,279,61,351,,
Newton,7,4,372,163,564,,
Newton,8,1,763,370,"1,195",,
Newton,8,2,690,377,"1,115",,
Newton,8,3,785,351,"1,189",,
Newton,8,4,477,207,713,,
Norfolk,-,1,372,516,923,,
Norfolk,-,2,784,991,"1,847",,
Norfolk,-,3,622,811,"1,490",,
N. Adams,1,1,544,154,726,,
N. Adams,2,2,451,120,601,,
N. Adams,3,3,387,80,489,,
N. Adams,4,4,625,217,884,,
N. Adams,5,5,504,116,660,,
N. Andover,-,1,614,516,"1,183",,
N. Andover,-,2,697,628,"1,381",,
N. Andover,-,3,673,532,"1,244",,
N. Andover,-,4,751,747,"1,553",,
N. Andover,-,5,436,476,941,,
N. Andover,-,6,637,908,"1,591",,
N. Andover,-,7,629,635,"1,299",,
N. Andover,-,8,607,784,"1,436",,
N. Attleborough,-,1,385,327,748,,
N. Attleborough,-,2,474,513,"1,036",,
N. Attleborough,-,3,470,690,"1,205",,
N. Attleborough,-,4,393,326,742,,
N. Attleborough,-,5,446,438,932,,
N. Attleborough,-,6,490,616,"1,143",,
N. Attleborough,-,7,609,660,"1,327",,
N. Attleborough,-,8,485,643,"1,171",,
N. Attleborough,-,9,488,505,"1,030",,
N. Brookfield,-,1,777,916,"1,790",,
N. Reading,-,1,731,846,"1,639",,
N. Reading,-,2,678,663,"1,399",,
N. Reading,-,3,732,785,"1,577",,
N. Reading,-,4,840,754,"1,656",,
Northampton,1,A,512,73,607,,
Northampton,1,B,876,140,"1,072",,
Northampton,2,A,853,64,943,,
Northampton,2,B,426,32,466,,
Northampton,3,A,747,71,847,,
Northampton,3,B,647,70,755,,
Northampton,4,A,494,39,556,,
Northampton,4,B,733,81,834,,
Northampton,5,A,661,102,793,,
Northampton,5,B,747,101,879,,
Northampton,6,A,723,212,995,,
Northampton,6,B,780,211,"1,027",,
Northampton,7,A,822,152,"1,008",,
Northampton,7,B,748,166,966,,
Northborough,-,1,843,688,"1,590",,
Northborough,-,2,769,665,"1,485",,
Northborough,-,3,797,724,"1,593",,
Northborough,-,4,763,820,"1,639",,
Northbridge,-,1,582,735,"1,397",,
Northbridge,-,2,539,720,"1,327",,
Northbridge,-,3,486,646,"1,194",,
Northbridge,-,4,553,946,"1,597",,
Northfield,-,1,752,385,"1,180",,
Norton,-,1,624,623,"1,322",,
Norton,-,2,601,662,"1,309",,
Norton,-,3,684,545,"1,277",,
Norton,-,4,686,637,"1,377",,
Norton,-,5,362,405,802,,
Norwell,-,1,690,747,"1,513",,
Norwell,-,2,669,912,"1,638",,
Norwell,-,3,702,893,"1,669",,
Norwood,-,1,682,517,"1,254",,
Norwood,-,2,650,452,"1,165",,
Norwood,-,3,707,489,"1,252",,
Norwood,-,4,824,650,"1,546",,
Norwood,-,5,495,273,798,,
Norwood,-,6,475,369,880,,
Norwood,-,7,602,441,"1,095",,
Norwood,-,8,792,463,"1,321",,
Norwood,-,9,713,562,"1,341",,
Oak Bluffs,-,1,"1,205",556,"1,819",,
Oakham,-,1,332,474,841,,
Orange,-,1,594,514,"1,155",,
Orange,-,2,648,494,"1,191",,
Orleans,-,1,"1,919","1,488","3,488",,
Otis,-,1,325,242,588,,
Oxford,-,1,559,588,"1,196",,
Oxford,-,2,471,557,"1,070",,
Oxford,-,3,534,569,"1,163",,
Oxford,-,4,490,549,"1,086",,
Palmer,-,1,504,422,997,,
Palmer,-,1A,68,48,124,,
Palmer,-,2,524,552,"1,154",,
